price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color,state
12988,2011.0,40,2,3,2,90659.0,0,0,1,4,5,13
2200,2008.0,13,2,3,2,180.0,0,0,1,2,5,6
9900,2015.0,31,3,3,2,27738.0,4,0,1,0,5,9
6500,2014.0,7,0,3,2,70485.0,0,0,1,9,4,36
26998,2014.0,13,0,5,2,88070.0,0,0,0,0,10,43
34000,2017.0,39,0,6,2,97000.0,0,0,0,10,10,35
1100,2000.0,31,1,5,2,285500.0,0,0,2,0,4,15
22995,2014.0,23,0,5,2,53028.0,0,0,1,9,9,13
16995,2011.0,20,2,5,2,96000.0,0,0,0,0,8,21
8300,2016.0,40,0,3,2,75000.0,5,0,1,9,10,4
4400,2005.0,23,0,5,2,263012.0,0,0,1,9,0,48
6999,2012.0,7,0,5,2,116000.0,0,0,1,9,0,13
4500,1998.0,13,2,6,2,167000.0,0,0,2,10,8,20
12988,2012.0,5,0,5,2,131000.0,0,0,0,0,2,9
10750,2008.0,4,0,5,2,87700.0,0,0,2,2,10,27
2999,2004.0,28,3,3,2,143910.0,0,0,1,4,5,48
6850,2013.0,10,2,3,2,79132.0,0,0,1,9,5,2
10200,2015.0,13,0,3,2,52068.0,0,0,1,9,10,34
2750,2005.0,16,2,3,2,222500.0,4,0,1,3,0,47
7500,2013.0,13,1,3,2,0.0,0,1,0,7,4,24
6500,1990.0,31,2,5,2,113485.0,1,0,2,7,8,26
4995,2011.0,13,2,5,2,189000.0,0,0,0,0,0,35
14995,2014.0,13,2,5,2,88843.0,0,0,0,0,2,48
10995,2011.0,23,0,3,3,106361.0,0,0,1,4,10,9
6950,2010.0,6,0,5,2,110000.0,0,0,0,0,5,19
8900,2011.0,31,0,5,2,132100.0,0,0,0,0,5,30
3000,1997.0,7,2,6,2,170000.0,0,0,0,0,7,23
14900,2004.0,4,0,5,2,105000.0,4,1,2,3,1,41
7500,2014.0,13,0,3,2,24410.0,5,0,1,4,8,3
8999,2012.0,14,0,3,2,142640.0,0,0,1,0,0,31
16495,2018.0,16,0,3,2,56999.0,0,0,1,9,1,43
19590,2016.0,16,2,5,2,47331.0,0,2,1,11,10,9
4995,2007.0,14,2,5,2,157000.0,0,1,0,0,8,15
6000,2003.0,7,2,5,2,138490.0,0,0,2,8,10,4
3495,2002.0,7,2,5,2,159000.0,0,0,0,0,5,22
20997,2015.0,6,0,5,2,70849.0,0,0,0,0,10,15
2995,2005.0,7,2,5,2,163000.0,0,0,0,0,1,39
4490,2007.0,31,0,5,2,117971.0,0,0,1,5,2,9
6500,2010.0,21,2,3,2,95000.0,1,0,1,9,10,9
19500,2015.0,17,3,5,2,47500.0,0,0,2,9,9,40
25999,2011.0,13,2,6,0,133272.0,0,0,0,10,10,45
23900,2010.0,10,3,5,0,122500.0,0,0,0,10,10,36
50990,2019.0,14,2,6,2,23859.0,0,2,0,8,0,10
7995,2010.0,8,0,5,2,87954.0,0,0,2,9,0,9
13000,2017.0,7,3,5,2,69000.0,0,0,2,9,0,9
5500,2009.0,32,0,5,2,91000.0,0,0,1,9,9,48
12500,2011.0,26,2,5,0,130620.0,0,0,0,0,10,40
17995,2018.0,16,0,3,2,16152.0,0,0,1,9,9,9
22500,2013.0,13,2,6,2,124416.0,0,0,0,8,0,35
21277,2019.0,7,0,6,2,32027.0,0,0,2,11,10,35
5000,2009.0,13,0,5,2,162000.0,0,0,0,0,1,1
38990,2019.0,13,2,6,2,1717.0,0,2,2,3,8,42
5500,2014.0,40,0,3,2,143300.0,0,1,1,9,5,6
10995,1997.0,26,2,5,2,79351.0,0,0,2,2,1,12
14000,2013.0,13,2,6,2,100000.0,0,1,0,8,4,34
3600,2001.0,20,2,5,2,180000.0,0,0,0,0,8,27
5999,2008.0,40,0,3,2,63479.0,0,0,1,4,0,45
38000,2015.0,38,2,7,1,70000.0,0,0,0,9,10,4
20590,2013.0,7,2,5,2,43653.0,0,0,2,3,0,40
2550,1998.0,7,2,6,2,230100.0,0,0,0,0,8,14
11995,2008.0,39,2,5,2,219000.0,0,0,0,8,10,9
3400,2013.0,26,1,3,0,100000.0,0,0,2,9,11,9
15000,2015.0,7,3,5,2,72000.0,0,0,2,3,8,34
4650,2008.0,13,1,6,2,163000.0,5,0,2,0,1,32
18990,2013.0,7,0,6,2,119314.0,0,0,0,0,8,23
14000,2006.0,13,0,6,2,145000.0,0,0,0,10,8,24
4200,2002.0,7,2,6,2,135771.0,0,0,2,11,10,22
8999,2016.0,17,3,3,2,47128.0,0,0,1,9,1,12
11995,2013.0,40,0,3,0,46145.0,0,0,1,9,10,45
4500,2006.0,7,1,6,2,208000.0,4,0,2,10,4,35
15990,2017.0,20,2,5,2,69953.0,0,2,1,7,9,4
19782,2015.0,10,0,6,2,82005.0,0,0,2,9,8,50
5400,2007.0,7,0,5,2,89861.0,0,0,1,5,5,47
7800,2009.0,16,0,3,2,87676.0,0,0,1,9,5,14
6895,2008.0,18,3,5,2,184000.0,0,0,0,9,5,9
11990,2005.0,13,0,6,0,153000.0,0,0,0,8,10,23
5500,2006.0,39,0,5,2,214192.0,0,0,1,9,5,15
11351,2015.0,39,3,3,2,138014.0,0,0,1,4,0,4
2750,1999.0,23,2,5,2,234000.0,0,0,1,9,10,40
41900,2019.0,7,3,6,2,17100.0,0,0,2,3,5,27
7200,2009.0,17,0,5,2,115600.0,0,0,1,0,10,27
15890,2017.0,20,0,3,2,50000.0,0,0,1,0,1,27
26750,2017.0,31,0,6,2,48022.0,0,0,0,10,5,43
1000,2000.0,37,2,3,2,123000.0,0,0,0,12,4,41
14499,2016.0,20,3,3,2,78100.0,0,0,1,0,0,36
12950,2012.0,7,2,4,2,152262.0,0,0,0,10,10,17
12999,2014.0,16,2,3,2,112600.0,0,0,1,9,8,48
6995,2011.0,31,0,3,2,115000.0,0,0,1,9,10,38
4995,1999.0,39,0,3,2,165000.0,0,0,1,0,0,9
3988,2004.0,13,2,6,0,252593.0,0,0,2,10,10,13
2500,2000.0,13,1,5,2,127014.0,0,0,2,0,4,43
8000,2007.0,23,2,6,2,240000.0,0,0,2,9,0,4
10000,2015.0,31,0,3,2,84000.0,0,0,1,9,5,37
3995,2006.0,25,0,3,2,129811.0,0,0,1,5,1,9
12999,2016.0,39,0,3,2,35000.0,0,0,1,9,5,26
5250,1993.0,16,0,3,2,60.0,0,0,1,2,4,27
12000,2014.0,7,0,3,2,65312.0,1,0,1,0,5,48
1800,2004.0,13,2,5,2,262000.0,0,0,0,12,4,21
1499,2005.0,7,2,5,2,134858.0,0,0,1,9,1,12
23995,2017.0,37,3,3,2,17977.0,0,0,0,4,1,9
22999,2017.0,13,0,3,2,24000.0,0,0,2,2,0,4
39590,2017.0,14,2,6,2,32802.0,0,2,0,8,0,34
6495,2015.0,37,5,3,2,16326.0,5,0,0,0,10,34
14990,2018.0,10,2,5,2,49259.0,0,2,1,11,10,45
8000,1998.0,7,2,6,2,1450000.0,4,1,2,4,6,38
5700,1990.0,26,0,6,2,97000.0,0,0,2,9,0,31
6995,2009.0,8,2,5,2,91000.0,0,0,1,11,9,31
12000,2007.0,39,0,5,2,204600.0,0,0,0,6,5,43
43900,2015.0,13,0,5,2,79000.0,0,0,0,10,0,17
5995,2012.0,13,0,3,2,96563.0,0,1,1,4,9,31
3500,2001.0,16,2,3,2,215000.0,0,0,1,3,9,38
